jurisdiction,state,type,priority
The Highlands city, Kansas,Place,No
Timken city, Kansas,Place,No
Tipton city, Kansas,Place,Yes
Tonganoxie city, Kansas,Place,No
Topeka city, Kansas,Place,No
Toronto city, Kansas,Place,Yes
Towanda city, Kansas,Place,No
Tribune city, Kansas,Place,Yes
Troy city, Kansas,Place,No
Turon city, Kansas,Place,Yes
Tyro city, Kansas,Place,Yes
Udall city, Kansas,Place,Yes
Ulysses city, Kansas,Place,No
Uniontown city, Kansas,Place,No
Utica city, Kansas,Place,No
Valley Center city, Kansas,Place,No
Valley Falls city, Kansas,Place,Yes
Vassar CDP, Kansas,Place,No
Vermillion city, Kansas,Place,No
Victoria city, Kansas,Place,No
Vining city, Kansas,Place,Yes
Viola city, Kansas,Place,No
Virgil city, Kansas,Place,Yes
Wakarusa CDP, Kansas,Place,Yes
WaKeeney city, Kansas,Place,No
Wakefield city, Kansas,Place,No
Waldo city, Kansas,Place,Yes
Waldron city, Kansas,Place,Yes
Wallace city, Kansas,Place,Yes
Walnut city, Kansas,Place,Yes
Walton city, Kansas,Place,Yes
Wamego city, Kansas,Place,No
Washington city, Kansas,Place,No
Waterville city, Kansas,Place,No
Wathena city, Kansas,Place,No
Waverly city, Kansas,Place,No
Webber city, Kansas,Place,No
Weir city, Kansas,Place,No
Welda CDP, Kansas,Place,Yes
Wellington city, Kansas,Place,No
Wellsville city, Kansas,Place,Yes
Weskan CDP, Kansas,Place,No
West Mineral city, Kansas,Place,No
Westmoreland city, Kansas,Place,No
Westphalia city, Kansas,Place,Yes
Westwood city, Kansas,Place,Yes
Westwood Hills city, Kansas,Place,Yes
Wetmore city, Kansas,Place,No
Wheaton city, Kansas,Place,No
White City city, Kansas,Place,No
White Cloud city, Kansas,Place,Yes
Whitewater city, Kansas,Place,No
Whiting city, Kansas,Place,No
Wichita city, Kansas,Place,No
Willard city, Kansas,Place,No
Williamsburg city, Kansas,Place,Yes
Willis city, Kansas,Place,Yes
Willowbrook city, Kansas,Place,Yes
Wilmore city, Kansas,Place,No
Wilroads Gardens CDP, Kansas,Place,No
Wilsey city, Kansas,Place,No
Wilson city, Kansas,Place,No
Winchester city, Kansas,Place,No
Windom city, Kansas,Place,No
Winfield city, Kansas,Place,No
Winona city, Kansas,Place,No
Woodbine city, Kansas,Place,No
Woodston city, Kansas,Place,Yes
Wright CDP, Kansas,Place,Yes
Yates Center city, Kansas,Place,No
Yoder CDP, Kansas,Place,Yes
Zenda city, Kansas,Place,Yes
Zurich city, Kansas,Place,No
Adairville city, Kentucky,Place,Yes
Ages CDP, Kentucky,Place,No
Albany city, Kentucky,Place,No
Alexandria city, Kentucky,Place,No
Allen city, Kentucky,Place,Yes
Allensville CDP, Kentucky,Place,No
Anchorage city, Kentucky,Place,Yes
Annville CDP, Kentucky,Place,No
Anthoston CDP, Kentucky,Place,No
Arjay CDP, Kentucky,Place,Yes
Arlington city, Kentucky,Place,No
Artemus CDP, Kentucky,Place,No
Ashland city, Kentucky,Place,No
Auburn city, Kentucky,Place,No
Audubon Park city, Kentucky,Place,Yes
Augusta city, Kentucky,Place,No
Auxier CDP, Kentucky,Place,No
Bancroft city, Kentucky,Place,Yes
Bandana CDP, Kentucky,Place,No
Barbourmeade city, Kentucky,Place,Yes
Barbourville city, Kentucky,Place,Yes
Bardstown city, Kentucky,Place,Yes
Bardwell city, Kentucky,Place,Yes
Barlow city, Kentucky,Place,Yes
Beattyville city, Kentucky,Place,Yes
Beaver Dam city, Kentucky,Place,Yes
Bedford city, Kentucky,Place,No
Beech Grove CDP, Kentucky,Place,No
Beechmont CDP, Kentucky,Place,No
Beechwood Village city, Kentucky,Place,No
Belfry CDP, Kentucky,Place,No
Bellefonte city, Kentucky,Place,Yes
Bellemeade city, Kentucky,Place,Yes
Belleview CDP, Kentucky,Place,No
Bellevue city, Kentucky,Place,Yes
Bellewood city, Kentucky,Place,Yes
Benham city, Kentucky,Place,Yes
Benton city, Kentucky,Place,Yes
Berea city, Kentucky,Place,No
Berry city, Kentucky,Place,No
Betsy Layne CDP, Kentucky,Place,No
Big Clifty CDP, Kentucky,Place,Yes
Blackey city, Kentucky,Place,No
Blaine city, Kentucky,Place,No
Blandville city, Kentucky,Place,Yes
Bloomfield city, Kentucky,Place,No
Blue Ridge Manor city, Kentucky,Place,No
Bonnieville city, Kentucky,Place,No
Booneville city, Kentucky,Place,No
Boston CDP, Kentucky,Place,Yes
Bowling Green city, Kentucky,Place,No
Bradfordsville city, Kentucky,Place,No
Brandenburg city, Kentucky,Place,No
Breckinridge Center CDP, Kentucky,Place,Yes
Bremen city, Kentucky,Place,No
Briarwood city, Kentucky,Place,Yes
Brodhead city, Kentucky,Place,No
Broeck Pointe city, Kentucky,Place,Yes
Bromley city, Kentucky,Place,Yes
Brooks CDP, Kentucky,Place,No
Brooksville city, Kentucky,Place,No
Brownsboro Farm city, Kentucky,Place,Yes
Brownsboro Village city, Kentucky,Place,Yes
Brownsville city, Kentucky,Place,No
Buckhorn city, Kentucky,Place,No
Buckner CDP, Kentucky,Place,Yes
Buffalo CDP, Kentucky,Place,No
Burgin city, Kentucky,Place,Yes
Burkesville city, Kentucky,Place,No
Burlington CDP, Kentucky,Place,No
Burna CDP, Kentucky,Place,Yes
Burnside city, Kentucky,Place,No
Butler city, Kentucky,Place,Yes
Cadiz city, Kentucky,Place,No
Calhoun city, Kentucky,Place,No
California city, Kentucky,Place,No
Calvert City city, Kentucky,Place,No
Camargo city, Kentucky,Place,No
Cambridge city, Kentucky,Place,No
Campbellsburg city, Kentucky,Place,Yes
Campbellsville city, Kentucky,Place,No
Campton city, Kentucky,Place,No
Caneyville city, Kentucky,Place,Yes
Cannonsburg CDP, Kentucky,Place,No
Carlisle city, Kentucky,Place,Yes
Carrollton city, Kentucky,Place,Yes
Carrsville city, Kentucky,Place,No
Catlettsburg city, Kentucky,Place,No
Cave City city, Kentucky,Place,Yes
Cawood CDP, Kentucky,Place,No
Cayce CDP, Kentucky,Place,Yes
Cecilia CDP, Kentucky,Place,Yes
Centertown city, Kentucky,Place,Yes
Central City city, Kentucky,Place,No
Cerulean CDP, Kentucky,Place,No
Chaplin CDP, Kentucky,Place,No
Clarkson city, Kentucky,Place,No
Claryville CDP, Kentucky,Place,Yes
Clay city, Kentucky,Place,No
Clay City city, Kentucky,Place,No
Cleaton CDP, Kentucky,Place,Yes
Clinton city, Kentucky,Place,No
Cloverport city, Kentucky,Place,No
Coal Run Village city, Kentucky,Place,No
Coldiron CDP, Kentucky,Place,Yes
Cold Spring city, Kentucky,Place,No
Coldstream city, Kentucky,Place,Yes
Columbia city, Kentucky,Place,Yes
Columbus city, Kentucky,Place,Yes
Combs CDP, Kentucky,Place,No
Concord city, Kentucky,Place,Yes
Corbin city, Kentucky,Place,No
Corinth city, Kentucky,Place,Yes
Corydon city, Kentucky,Place,No
Covington city, Kentucky,Place,No
Coxton CDP, Kentucky,Place,No
Crab Orchard city, Kentucky,Place,Yes
Crayne CDP, Kentucky,Place,No
Creekside city, Kentucky,Place,Yes
Crescent Springs city, Kentucky,Place,No
Crestview city, Kentucky,Place,No
Crestview Hills city, Kentucky,Place,No
Crestwood city, Kentucky,Place,Yes
Crittenden city, Kentucky,Place,Yes
Crofton city, Kentucky,Place,No
Crossgate city, Kentucky,Place,Yes
Cumberland city, Kentucky,Place,No
Cunningham CDP, Kentucky,Place,No
Cynthiana city, Kentucky,Place,No
Danville city, Kentucky,Place,No
Dawson Springs city, Kentucky,Place,No
Dayton city, Kentucky,Place,Yes
Dexter CDP, Kentucky,Place,No
Diablock CDP, Kentucky,Place,No
Dixon city, Kentucky,Place,Yes
Doe Valley CDP, Kentucky,Place,No
Douglass Hills city, Kentucky,Place,Yes
Dover city, Kentucky,Place,No
Drakesboro city, Kentucky,Place,Yes
Druid Hills city, Kentucky,Place,Yes
Dry Ridge city, Kentucky,Place,Yes
Dunmor CDP, Kentucky,Place,No
Dwale CDP, Kentucky,Place,No
Earlington city, Kentucky,Place,Yes
East Bernstadt CDP, Kentucky,Place,No
Eddyville city, Kentucky,Place,No
Edgewood city, Kentucky,Place,No
Edmonton city, Kentucky,Place,No
Ekron city, Kentucky,Place,No
Elizabethtown city, Kentucky,Place,No
Elizaville CDP, Kentucky,Place,No
Elk Creek CDP, Kentucky,Place,Yes
Elkhorn City city, Kentucky,Place,No
Elkton city, Kentucky,Place,No
Elsmere city, Kentucky,Place,Yes
Eminence city, Kentucky,Place,Yes
Emlyn CDP, Kentucky,Place,No
Erlanger city, Kentucky,Place,No
Eubank city, Kentucky,Place,Yes
Evarts city, Kentucky,Place,Yes
Ewing city, Kentucky,Place,No
Ezel CDP, Kentucky,Place,No
Fairfield city, Kentucky,Place,Yes
Fairview CDP, Kentucky,Place,No
Fairview city, Kentucky,Place,Yes
Falmouth city, Kentucky,Place,No
Fancy Farm CDP, Kentucky,Place,No
Farley CDP, Kentucky,Place,No
Farmers CDP, Kentucky,Place,No
Farmington CDP, Kentucky,Place,Yes
Ferguson city, Kentucky,Place,No
Fincastle city, Kentucky,Place,No
Flat Lick CDP, Kentucky,Place,No
Flatwoods city, Kentucky,Place,No
Fleming-Neon city, Kentucky,Place,No
Flemingsburg city, Kentucky,Place,No
Florence city, Kentucky,Place,No
Fordsville city, Kentucky,Place,Yes
Forest Hills city, Kentucky,Place,No
Fort Campbell North CDP, Kentucky,Place,No
Fort Knox CDP, Kentucky,Place,No
Fort Mitchell city, Kentucky,Place,Yes
Fort Thomas city, Kentucky,Place,No
Fort Wright city, Kentucky,Place,No
Fountain Run city, Kentucky,Place,No
Fox Chase city, Kentucky,Place,Yes
Francisville CDP, Kentucky,Place,No
Frankfort city, Kentucky,Place,Yes
Franklin city, Kentucky,Place,Yes
Fredonia city, Kentucky,Place,Yes
Freeburn CDP, Kentucky,Place,No
Frenchburg city, Kentucky,Place,Yes
Fulton city, Kentucky,Place,No
Gamaliel city, Kentucky,Place,No
Garrison CDP, Kentucky,Place,No
Georgetown city, Kentucky,Place,No
Germantown city, Kentucky,Place,No
Ghent city, Kentucky,Place,Yes
Gilbertsville CDP, Kentucky,Place,No
Glasgow city, Kentucky,Place,No
Glencoe city, Kentucky,Place,No
Glenview city, Kentucky,Place,Yes
Glenview Hills city, Kentucky,Place,Yes
Glenview Manor city, Kentucky,Place,Yes
Goose Creek city, Kentucky,Place,Yes
Goshen city, Kentucky,Place,Yes
Gracey CDP, Kentucky,Place,No
Grand Rivers city, Kentucky,Place,Yes
Gratz city, Kentucky,Place,Yes
Graymoor-Devondale city, Kentucky,Place,Yes
Grayson city, Kentucky,Place,No
Greensburg city, Kentucky,Place,No
Green Spring city, Kentucky,Place,Yes
Greenup city, Kentucky,Place,No
Greenville city, Kentucky,Place,No
Guthrie city, Kentucky,Place,No
Hanson city, Kentucky,Place,No
Hardin city, Kentucky,Place,Yes
Hardinsburg city, Kentucky,Place,Yes
Hardyville CDP, Kentucky,Place,No
Harlan city, Kentucky,Place,No
Harrodsburg city, Kentucky,Place,Yes
Hartford city, Kentucky,Place,Yes
Hawesville city, Kentucky,Place,No
Hazard city, Kentucky,Place,No
Hazel city, Kentucky,Place,Yes
Hazel Green CDP, Kentucky,Place,No
Hebron CDP, Kentucky,Place,No
Hebron Estates city, Kentucky,Place,No
Henderson city, Kentucky,Place,No
Hendron CDP, Kentucky,Place,Yes
Heritage Creek city, Kentucky,Place,No
Hickman city, Kentucky,Place,No
Hickory CDP, Kentucky,Place,No
Hickory Hill city, Kentucky,Place,No
High Bridge CDP, Kentucky,Place,No
Highland Heights city, Kentucky,Place,No
Hills and Dales city, Kentucky,Place,Yes
Hillview city, Kentucky,Place,No
Hindman city, Kentucky,Place,Yes
Hiseville CDP, Kentucky,Place,Yes
Hodgenville city, Kentucky,Place,No
Hollow Creek city, Kentucky,Place,No
Hollyvilla city, Kentucky,Place,No
Hopkinsville city, Kentucky,Place,No
Horse Cave city, Kentucky,Place,No
Houston Acres city, Kentucky,Place,Yes
Hunters Hollow city, Kentucky,Place,Yes
Hurstbourne city, Kentucky,Place,No
Hurstbourne Acres city, Kentucky,Place,Yes
Hustonville city, Kentucky,Place,Yes
Hyden city, Kentucky,Place,No
Independence city, Kentucky,Place,No
Indian Hills city, Kentucky,Place,Yes
Inez city, Kentucky,Place,Yes
Ironville CDP, Kentucky,Place,No
Irvine city, Kentucky,Place,No
Irvington city, Kentucky,Place,Yes
Island city, Kentucky,Place,No
Jackson city, Kentucky,Place,Yes
Jamestown city, Kentucky,Place,Yes
Jeff CDP, Kentucky,Place,Yes
Jeffersontown city, Kentucky,Place,No
Jeffersonville city, Kentucky,Place,Yes
Jenkins city, Kentucky,Place,No
Junction City city, Kentucky,Place,No
Keene city, Kentucky,Place,No
Kenton Vale city, Kentucky,Place,No
Kenvir CDP, Kentucky,Place,No
Kevil city, Kentucky,Place,Yes
Kingsley city, Kentucky,Place,Yes
Kuttawa city, Kentucky,Place,No
La Center city, Kentucky,Place,Yes
LaFayette city, Kentucky,Place,No
La Grange city, Kentucky,Place,Yes
Lakeside Park city, Kentucky,Place,Yes
Lakeview Heights city, Kentucky,Place,No
Lancaster city, Kentucky,Place,No
Langdon Place city, Kentucky,Place,No
Lawrenceburg city, Kentucky,Place,Yes
Lebanon city, Kentucky,Place,No
Lebanon Junction city, Kentucky,Place,No
Ledbetter CDP, Kentucky,Place,Yes
Leitchfield city, Kentucky,Place,No
Lewisburg city, Kentucky,Place,No
Lewisport city, Kentucky,Place,Yes
Lexington-Fayette urban county, Kentucky,Place,No
Liberty city, Kentucky,Place,No
Lincolnshire city, Kentucky,Place,Yes
Livermore city, Kentucky,Place,Yes
Livingston city, Kentucky,Place,No
London city, Kentucky,Place,No
Loretto city, Kentucky,Place,No
Louisa city, Kentucky,Place,Yes
Louisville/Jefferson County metro government (balance), Kentucky,Place,No
Lovelaceville CDP, Kentucky,Place,No
Lowes CDP, Kentucky,Place,Yes
Loyall city, Kentucky,Place,No
Ludlow city, Kentucky,Place,No
Lynch city, Kentucky,Place,No
Lyndon city, Kentucky,Place,Yes
Lynnview city, Kentucky,Place,No
McCarr CDP, Kentucky,Place,No
McDowell CDP, Kentucky,Place,No
Maceo CDP, Kentucky,Place,No
McHenry city, Kentucky,Place,No
McKee city, Kentucky,Place,No
McKinney CDP, Kentucky,Place,No
Mackville city, Kentucky,Place,Yes
McRoberts CDP, Kentucky,Place,No
Madisonville city, Kentucky,Place,No
Magnolia CDP, Kentucky,Place,No
Manchester city, Kentucky,Place,No
Manitou CDP, Kentucky,Place,No
Manor Creek city, Kentucky,Place,Yes
Marion city, Kentucky,Place,Yes
Marrowbone CDP, Kentucky,Place,No
Martin city, Kentucky,Place,No
Maryhill Estates city, Kentucky,Place,Yes
Masonville CDP, Kentucky,Place,Yes
Massac CDP, Kentucky,Place,No
Mayfield city, Kentucky,Place,No
Mayking CDP, Kentucky,Place,Yes
Mays Lick CDP, Kentucky,Place,No
Maysville city, Kentucky,Place,No
Maytown CDP, Kentucky,Place,No
Meadowbrook Farm city, Kentucky,Place,No
Meadow Vale city, Kentucky,Place,No
Meadowview Estates city, Kentucky,Place,No
Melbourne city, Kentucky,Place,No
Mentor city, Kentucky,Place,No
Middlesborough city, Kentucky,Place,No
Middletown city, Kentucky,Place,No
Midway city, Kentucky,Place,No
Millersburg city, Kentucky,Place,No
Millstone CDP, Kentucky,Place,No
Milton city, Kentucky,Place,Yes
Mockingbird Valley city, Kentucky,Place,Yes
Monterey city, Kentucky,Place,No
Monticello city, Kentucky,Place,Yes
Moorland city, Kentucky,Place,No
Morehead city, Kentucky,Place,Yes
Morganfield city, Kentucky,Place,No
Morgantown city, Kentucky,Place,Yes
Mortons Gap city, Kentucky,Place,Yes
Mount Olivet city, Kentucky,Place,Yes
Mount Sterling city, Kentucky,Place,Yes
Mount Vernon city, Kentucky,Place,No
Mount Washington city, Kentucky,Place,No
Muldraugh city, Kentucky,Place,No
Munfordville city, Kentucky,Place,Yes
Murray city, Kentucky,Place,No
Murray Hill city, Kentucky,Place,Yes
Nebo city, Kentucky,Place,No
New Castle city, Kentucky,Place,No
New Haven city, Kentucky,Place,No
New Hope CDP, Kentucky,Place,No
Newport city, Kentucky,Place,No
Nicholasville city, Kentucky,Place,No
Norbourne Estates city, Kentucky,Place,Yes
North Corbin CDP, Kentucky,Place,No
Northfield city, Kentucky,Place,No
North Middletown city, Kentucky,Place,No
Nortonville city, Kentucky,Place,No
Norwood city, Kentucky,Place,No
Oakbrook CDP, Kentucky,Place,No
Oak Grove city, Kentucky,Place,No
Oakland city, Kentucky,Place,No
Old Brownsboro Place city, Kentucky,Place,Yes
Olive Hill city, Kentucky,Place,No
Oneida CDP, Kentucky,Place,No
Onton CDP, Kentucky,Place,No
Orchard Grass Hills city, Kentucky,Place,Yes
Owensboro city, Kentucky,Place,No
Owenton city, Kentucky,Place,No
Owingsville city, Kentucky,Place,No
Paducah city, Kentucky,Place,Yes
Paintsville city, Kentucky,Place,No
Paris city, Kentucky,Place,Yes
Park City city, Kentucky,Place,Yes
Park Hills city, Kentucky,Place,No
Parkway Village city, Kentucky,Place,No
Pathfork CDP, Kentucky,Place,No
Payne Gap CDP, Kentucky,Place,No
Pembroke city, Kentucky,Place,No
Perryville city, Kentucky,Place,No
Petersburg CDP, Kentucky,Place,No
Pewee Valley city, Kentucky,Place,Yes
Phelps CDP, Kentucky,Place,Yes
Pikeville city, Kentucky,Place,No
Pine Knot CDP, Kentucky,Place,Yes
Pineville city, Kentucky,Place,No
Pioneer Village city, Kentucky,Place,No
Pippa Passes city, Kentucky,Place,No
Plano CDP, Kentucky,Place,No
Plantation city, Kentucky,Place,No
Pleasant View CDP, Kentucky,Place,No
Pleasureville city, Kentucky,Place,No
Plum Springs city, Kentucky,Place,No
Poole CDP, Kentucky,Place,No
Poplar Hills city, Kentucky,Place,Yes
Powderly city, Kentucky,Place,Yes
Prestonsburg city, Kentucky,Place,No
Prestonville city, Kentucky,Place,No
Princeton city, Kentucky,Place,Yes
Prospect city, Kentucky,Place,Yes
Providence city, Kentucky,Place,Yes
Pryorsburg CDP, Kentucky,Place,Yes
Rabbit Hash CDP, Kentucky,Place,No
Raceland city, Kentucky,Place,Yes
Radcliff city, Kentucky,Place,No
Ravenna city, Kentucky,Place,No
Raywick city, Kentucky,Place,Yes
Reidland CDP, Kentucky,Place,No
Richlawn city, Kentucky,Place,Yes
Richmond city, Kentucky,Place,No
Rineyville CDP, Kentucky,Place,No
River Bluff city, Kentucky,Place,Yes
Riverwood city, Kentucky,Place,Yes
Robards city, Kentucky,Place,No
Rochester city, Kentucky,Place,Yes
Rockholds CDP, Kentucky,Place,No
Rockport city, Kentucky,Place,No
Rolling Fields city, Kentucky,Place,Yes
Rolling Hills city, Kentucky,Place,No
Rosine CDP, Kentucky,Place,No
Russell city, Kentucky,Place,Yes
Russell Springs city, Kentucky,Place,No
Russellville city, Kentucky,Place,Yes
Ryland Heights city, Kentucky,Place,No
Sacramento city, Kentucky,Place,No
Sadieville city, Kentucky,Place,Yes
St. Charles city, Kentucky,Place,No
St. Mary city, Kentucky,Place,Yes
St. Matthews city, Kentucky,Place,Yes
St. Regis Park city, Kentucky,Place,Yes
Salem city, Kentucky,Place,No
Salt Lick city, Kentucky,Place,No
Salvisa CDP, Kentucky,Place,Yes
Salyersville city, Kentucky,Place,No
Sanders city, Kentucky,Place,Yes
Sandy Hook city, Kentucky,Place,No
Sardis city, Kentucky,Place,No
Science Hill city, Kentucky,Place,No
Scottsville city, Kentucky,Place,Yes
Sebree city, Kentucky,Place,Yes
Sedalia CDP, Kentucky,Place,No
Seneca Gardens city, Kentucky,Place,Yes
Sharpsburg city, Kentucky,Place,No
Shelbyville city, Kentucky,Place,Yes
Shepherdsville city, Kentucky,Place,Yes
Shively city, Kentucky,Place,No
Silver Grove city, Kentucky,Place,Yes
Simpsonville city, Kentucky,Place,Yes
Slaughters city, Kentucky,Place,No
Smithfield city, Kentucky,Place,No
Smithland city, Kentucky,Place,No
Smiths Grove city, Kentucky,Place,No
Somerset city, Kentucky,Place,No
Sonora city, Kentucky,Place,Yes
South Carrollton city, Kentucky,Place,No
Southgate city, Kentucky,Place,No
South Park View city, Kentucky,Place,Yes
South Shore city, Kentucky,Place,No
South Wallins CDP, Kentucky,Place,Yes
South Williamson CDP, Kentucky,Place,No
Sparta city, Kentucky,Place,Yes
Spottsville CDP, Kentucky,Place,No
Springfield city, Kentucky,Place,Yes
Spring Mill city, Kentucky,Place,No
Spring Valley city, Kentucky,Place,Yes
Stamping Ground city, Kentucky,Place,No
Stanford city, Kentucky,Place,Yes
Stanton city, Kentucky,Place,No
Stearns CDP, Kentucky,Place,Yes
Strathmoor Manor city, Kentucky,Place,Yes
Strathmoor Village city, Kentucky,Place,Yes
Sturgis city, Kentucky,Place,Yes
Summer Shade CDP, Kentucky,Place,No
Summersville CDP, Kentucky,Place,No
Sycamore city, Kentucky,Place,No
Symsonia CDP, Kentucky,Place,No
Taylor Mill city, Kentucky,Place,No
Taylorsville city, Kentucky,Place,No
Ten Broeck city, Kentucky,Place,Yes
Thornhill city, Kentucky,Place,Yes
Tolu CDP, Kentucky,Place,Yes
Tompkinsville city, Kentucky,Place,Yes
Trenton city, Kentucky,Place,No
Union city, Kentucky,Place,No
Uniontown city, Kentucky,Place,Yes
Upton city, Kentucky,Place,No
Utica CDP, Kentucky,Place,No
Vanceburg city, Kentucky,Place,No
Verona CDP, Kentucky,Place,No
Versailles city, Kentucky,Place,No
Vicco city, Kentucky,Place,No
Villa Hills city, Kentucky,Place,No
Vine Grove city, Kentucky,Place,Yes
Virgie CDP, Kentucky,Place,No
Wallins Creek CDP, Kentucky,Place,No
Walton city, Kentucky,Place,Yes
Warfield city, Kentucky,Place,No
Warsaw city, Kentucky,Place,No
Water Valley CDP, Kentucky,Place,No
Watterson Park city, Kentucky,Place,No
Waverly city, Kentucky,Place,Yes
Wayland city, Kentucky,Place,Yes
Wellington city, Kentucky,Place,Yes
West Buechel city, Kentucky,Place,Yes
West Liberty city, Kentucky,Place,Yes
West Point city, Kentucky,Place,Yes
Westport CDP, Kentucky,Place,No
Westwood CDP, Kentucky,Place,No
Westwood city, Kentucky,Place,Yes
